percentage_of_data, processors_used, execution_time, avg_centrality
0.05,2,76.07,28.478387
0.05,4,93.65,28.478387
0.05,6,104.47,28.478387
0.05,8,125.45,28.478387
0.05,10,152.18,28.478387
0.05,12,174.19,28.478387
0.05,14,199.66,28.478387
0.05,16,206.31,28.478387
