percentage_of_data, processors_used, execution_time, avg_centrality
1.00,2,31.58,0.276168
1.00,4,34.02,0.276168
1.00,6,38.67,0.276168
1.00,8,47.90,0.276168
1.00,10,56.64,0.276168
1.00,12,65.32,0.276168
1.00,14,75.97,0.276168
1.00,16,80.97,0.276168
